iso,adm1,adm2,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
IND,36,Alipurduar,2001,101.2866,46130.92
IND,36,Bankura,2001,11.441,5859.209
IND,36,Bardhaman,2001,0.282423,119.393
IND,36,Birbhum,2001,0.352659,139.2139
IND,36,Dakshin Dinajpur,2001,0.976732,389.3436
IND,36,Darjeeling,2001,54.69752,37324.67
IND,36,Howrah,2001,5.625224,2571.249
IND,36,Hooghly,2001,0.568409,278.5694
IND,36,Jalpaiguri,2001,58.34021,35363.9
IND,36,Cooch Behar,2001,4.630258,3116.576
IND,36,Kolkata,2001,83.72316,33528.96
IND,36,Malda,2001,9.436615,4103.147
IND,36,Murshidabad,2001,0.562709,386.4837
IND,36,Nadia,2001,2.614733,1052.803
IND,36,North 24 Parganas,2001,3.125367,780.6029
IND,36,Paschim Medinipur,2001,83.72316,43900.59
IND,36,Purba Medinipur,2001,7.065259,2659.253
IND,36,Purulia,2001,0.851466,382.8166
IND,36,South 24 Parganas,2001,0.071199,16.13399
IND,36,Uttar Dinajpur,2001,50.77195,33528.96
IND,36,Alipurduar,2002,212.9532,107802.5
IND,36,Bankura,2002,0.70946,261.7507
IND,36,Bardhaman,2002,0.211822,101.5324
IND,36,Birbhum,2002,0.141063,59.33046
IND,36,Dakshin Dinajpur,2002,1.185787,543.3548
IND,36,Darjeeling,2002,53.97999,28513.95
IND,36,Howrah,2002,0.854507,291.965
IND,36,Hooghly,2002,0.639169,219.6038
IND,36,Jalpaiguri,2002,20.04368,9524.437
IND,36,Cooch Behar,2002,23.22824,19299.6
IND,36,Kolkata,2002,93.72316,33858.96
IND,36,Malda,2002,9.436615,4103.147
IND,36,Murshidabad,2002,6.758241,2727.289
IND,36,Nadia,2002,1.836141,631.7172
IND,36,North 24 Parganas,2002,1.706867,598.582
IND,36,Paschim Medinipur,2002,4.199306,1450.395
IND,36,Purba Medinipur,2002,4.067778,1209.827
IND,36,Purulia,2002,12.40168,5078.949
IND,36,South 24 Parganas,2002,0.071282,15.94409
IND,36,Uttar Dinajpur,2002,4.628667,2693.369
IND,36,Alipurduar,2003,137.1336,68449.88
IND,36,Bankura,2003,0.212847,90.32429
IND,36,Bardhaman,2003,0.353322,114.9858
IND,36,Birbhum,2003,0.211579,79.43913
IND,36,Dakshin Dinajpur,2003,0.209256,94.93196
IND,36,Darjeeling,2003,14.68149,6634.428
IND,36,Howrah,2003,0.42789,72.13983
IND,36,Hooghly,2003,0.639169,219.6038
IND,36,Jalpaiguri,2003,21.8942,10003.06
IND,36,Cooch Behar,2003,3.731787,2266.435
IND,36,Kolkata,2003,93.72355,33858.96
IND,36,Malda,2003,1.325964,583.2181
IND,36,Murshidabad,2003,1.053576,432.0078
IND,36,Nadia,2003,0.848315,454.332
IND,36,North 24 Parganas,2003,0.426315,497.4567
IND,36,Paschim Medinipur,2003,4.128493,1468.512
IND,36,Purba Medinipur,2003,0.214217,34.76919
IND,36,Purulia,2003,4.959876,1874.229
IND,36,South 24 Parganas,2003,0.143011,20.62162
IND,36,Uttar Dinajpur,2003,2.488539,1081.798
IND,36,Alipurduar,2004,161.6741,78754.24
IND,36,Bankura,2004,18.66118,7007.066
IND,36,Bardhaman,2004,0.353641,133.177
IND,36,Birbhum,2004,0.211579,79.43913
IND,36,Dakshin Dinajpur,2004,0.557874,217.0249
IND,36,Darjeeling,2004,111.897,60010.23
IND,36,Howrah,2004,0.641145,143.8293
IND,36,Hooghly,2004,0.284201,88.88665
IND,36,Jalpaiguri,2004,62.84485,34365.11
IND,36,Cooch Behar,2004,23.84089,16578.44
IND,36,Kolkata,2004,93.78351,43858.98
IND,36,Malda,2004,4.53642,2473.943
IND,36,Murshidabad,2004,3.019868,1084.007
IND,36,Nadia,2004,1.625157,519.6943
IND,36,North 24 Parganas,2004,0.640456,248.0658
IND,36,Paschim Medinipur,2004,141.541,52092.37
IND,36,Purba Medinipur,2004,4.422965,1441.676
IND,36,Purulia,2004,10.06432,3914.662
IND,36,South 24 Parganas,2004,0.071382,134.8811
IND,36,Uttar Dinajpur,2004,23.1477,11151.16
IND,36,Alipurduar,2005,255.1928,119028.7
IND,36,Bankura,2005,0.354855,186.7004
IND,36,Bardhaman,2005,0.848787,268.0293
IND,36,Birbhum,2005,0.211579,79.43913
IND,36,Dakshin Dinajpur,2005,0.906071,476.3913
IND,36,Darjeeling,2005,69.71256,31988.37
IND,36,Howrah,2005,0.284891,140.8653
IND,36,Hooghly,2005,0.284201,88.88665
IND,36,Jalpaiguri,2005,47.31812,22310.77
IND,36,Cooch Behar,2005,29.50424,19074.91
IND,36,Kolkata,2005,93.78351,43858.98
IND,36,Malda,2005,6.420552,2634.83
IND,36,Murshidabad,2005,3.302989,1358.372
IND,36,Nadia,2005,5.58597,1912.254
IND,36,North 24 Parganas,2005,2.059054,932.6363
IND,36,Paschim Medinipur,2005,3.984348,1671.255
IND,36,Purba Medinipur,2005,0.928017,270.9679
IND,36,Purulia,2005,1.206026,530.9915
IND,36,South 24 Parganas,2005,1.212801,297.3673
IND,36,Uttar Dinajpur,2005,17.97083,8387.53
IND,36,Alipurduar,2006,387.2586,190018.1
IND,36,Bankura,2006,42.42461,17138.53
IND,36,Bardhaman,2006,0.848787,268.0293
IND,36,Birbhum,2006,0.211579,79.43913
IND,36,Dakshin Dinajpur,2006,1.115912,569.6482
IND,36,Darjeeling,2006,98.6451,49102.84
IND,36,Howrah,2006,1.139373,363.7405
IND,36,Hooghly,2006,0.355065,128.6494
IND,36,Jalpaiguri,2006,91.34612,44925.58
IND,36,Cooch Behar,2006,27.16199,23256.8
IND,36,Kolkata,2006,96.78356,43858.98
IND,36,Malda,2006,2.86253,1273.152
IND,36,Murshidabad,2006,1.265235,482.9029
IND,36,Nadia,2006,1.272259,624.6608
IND,36,North 24 Parganas,2006,0.998534,196.2889
IND,36,Paschim Medinipur,2006,60.55095,23007.61
IND,36,Purba Medinipur,2006,3.49684,1000.766
IND,36,Purulia,2006,1.562517,674.856
IND,36,South 24 Parganas,2006,0,13.94878
IND,36,Uttar Dinajpur,2006,55.95731,27258.34
IND,36,Alipurduar,2007,1028.637,500939.3
IND,36,Bankura,2007,6.173026,2426.904
IND,36,Bardhaman,2007,0.211822,101.5324
IND,36,Birbhum,2007,0.141063,59.33046
IND,36,Dakshin Dinajpur,2007,0.697016,456.4087
IND,36,Darjeeling,2007,183.1875,109593.1
IND,36,Howrah,2007,0.783314,293.0803
IND,36,Hooghly,2007,0.781907,315.1775
IND,36,Jalpaiguri,2007,191.2503,89260.55
IND,36,Cooch Behar,2007,48.64654,32464.99
IND,36,Kolkata,2007,94.78351,63858.98
IND,36,Malda,2007,3.071842,1380.593
IND,36,Murshidabad,2007,1.193127,810.0238
IND,36,Nadia,2007,1.059698,487.0994
IND,36,North 24 Parganas,2007,0.641545,194.0004
IND,36,Paschim Medinipur,2007,12.45201,4611.456
IND,36,Purba Medinipur,2007,3.282534,1066.337
IND,36,Purulia,2007,0.99241,428.2179
IND,36,South 24 Parganas,2007,0.356287,172.7215
IND,36,Uttar Dinajpur,2007,19.83009,9505.965
IND,36,Alipurduar,2008,1173.245,543615.2
IND,36,Bankura,2008,10.43059,4202.949
IND,36,Bardhaman,2008,0.141413,41.87727
IND,36,Birbhum,2008,0,18.15873
IND,36,Dakshin Dinajpur,2008,0.13943,61.64116
IND,36,Darjeeling,2008,101.3038,50209.71
IND,36,Howrah,2008,1.851462,681.6463
IND,36,Hooghly,2008,0.284227,79.69102
IND,36,Jalpaiguri,2008,109.9577,51563.31
IND,36,Cooch Behar,2008,28.05815,23216.82
IND,36,Kolkata,2008,83.78351,63858.98
IND,36,Malda,2008,1.816029,743.9764
IND,36,Murshidabad,2008,1.619346,539.3824
IND,36,Nadia,2008,1.483228,670.834
IND,36,North 24 Parganas,2008,1.284418,528.5477
IND,36,Paschim Medinipur,2008,68.03484,26369.07
IND,36,Purba Medinipur,2008,2.425729,806.7003
IND,36,Purulia,2008,2.126743,956.2684
IND,36,South 24 Parganas,2008,0.500386,307.2993
IND,36,Uttar Dinajpur,2008,29.00805,17482.96
IND,36,Alipurduar,2009,417.1742,184486.2
IND,36,Bankura,2009,19.22711,9796.17
IND,36,Bardhaman,2009,0.423792,139.4858
IND,36,Birbhum,2009,0.070393,40.32118
IND,36,Dakshin Dinajpur,2009,0.13931,55.5409
IND,36,Darjeeling,2009,185.7386,107091.1
IND,36,Howrah,2009,0.284705,164.0615
IND,36,Hooghly,2009,0.070971,32.12845
IND,36,Jalpaiguri,2009,155.1981,72605.38
IND,36,Cooch Behar,2009,17.00369,12216.72
IND,36,Kolkata,2009,0.142401,115.9419
IND,36,Malda,2009,8.859808,3893.071
IND,36,Murshidabad,2009,1.406112,591.1105
IND,36,Nadia,2009,2.61654,784.4724
IND,36,North 24 Parganas,2009,2.349896,1286.467
IND,36,Paschim Medinipur,2009,16.14487,5992.099
IND,36,Purba Medinipur,2009,0.428189,71.08908
IND,36,Purulia,2009,1.348652,613.7404
IND,36,South 24 Parganas,2009,0.214575,69.63519
IND,36,Uttar Dinajpur,2009,68.52451,35021.88
IND,36,Alipurduar,2010,1529.472,699931.4
IND,36,Bankura,2010,42.42738,22654.6
IND,36,Bardhaman,2010,1.484772,471.2655
IND,36,Birbhum,2010,0.070393,40.32118
IND,36,Dakshin Dinajpur,2010,0.41861,167.4324
IND,36,Darjeeling,2010,119.3134,68970.95
IND,36,Howrah,2010,0.925212,265.0743
IND,36,Hooghly,2010,1.063963,353.0778
IND,36,Jalpaiguri,2010,251.3298,116478.3
IND,36,Cooch Behar,2010,24.60152,19434.87
IND,36,Kolkata,2010,93.783,43858.9
IND,36,Malda,2010,1.117224,468.7942
IND,36,Murshidabad,2010,4.153421,1712.578
IND,36,Nadia,2010,11.30622,4155.382
IND,36,North 24 Parganas,2010,2.771099,927.0838
IND,36,Paschim Medinipur,2010,10.45952,4210.971
IND,36,Purba Medinipur,2010,1.56977,710.2394
IND,36,Purulia,2010,0.497499,235.6871
IND,36,South 24 Parganas,2010,0.213626,59.50063
IND,36,Uttar Dinajpur,2010,17.40852,9793.882
IND,36,Alipurduar,2011,468.9365,225110.7
IND,36,Bankura,2011,17.96081,9232.126
IND,36,Bardhaman,2011,0.141392,53.71251
IND,36,Birbhum,2011,0.070393,40.32118
IND,36,Dakshin Dinajpur,2011,0.557578,314.5452
IND,36,Darjeeling,2011,144.418,75568.24
IND,36,Howrah,2011,0.427037,99.76776
IND,36,Hooghly,2011,0.426466,320.2528
IND,36,Jalpaiguri,2011,207.9073,91936.76
IND,36,Cooch Behar,2011,24.11442,14559.58
IND,36,Kolkata,2011,93.788,83858.9
IND,36,Malda,2011,1.325236,591.367
IND,36,Murshidabad,2011,0.422304,138.5216
IND,36,Nadia,2011,1.343378,458.7855
IND,36,North 24 Parganas,2011,2.708389,1674.434
IND,36,Paschim Medinipur,2011,22.90283,11186.41
IND,36,Purba Medinipur,2011,0.500146,87.16082
IND,36,Purulia,2011,0.922573,564.4579
IND,36,South 24 Parganas,2011,0.356949,175.5529
IND,36,Uttar Dinajpur,2011,50.35436,31125.17
IND,36,Alipurduar,2012,654.773,325070.5
IND,36,Bankura,2012,28.38122,14858.76
IND,36,Bardhaman,2012,0.778362,675.331
IND,36,Birbhum,2012,0.141064,293.6464
IND,36,Dakshin Dinajpur,2012,0.209194,86.82547
IND,36,Darjeeling,2012,183.5827,90880.16
IND,36,Howrah,2012,0.854575,317.277
IND,36,Hooghly,2012,0.425192,112.0941
IND,36,Jalpaiguri,2012,209.5087,97186.74
IND,36,Cooch Behar,2012,48.98934,34162.4
IND,36,Kolkata,2012,93.783,43858.9
IND,36,Malda,2012,2.44227,1057.162
IND,36,Murshidabad,2012,1.547356,693.7175
IND,36,Nadia,2012,2.756017,902.451
IND,36,North 24 Parganas,2012,1.207509,407.9268
IND,36,Paschim Medinipur,2012,52.45145,20425.28
IND,36,Purba Medinipur,2012,0.572089,160.5728
IND,36,Purulia,2012,1.491792,701.6908
IND,36,South 24 Parganas,2012,0.285814,108.1311
IND,36,Uttar Dinajpur,2012,37.92918,20099.51
IND,36,Alipurduar,2013,125.9096,67827.92
IND,36,Bankura,2013,0.354708,6539.199
IND,36,Bardhaman,2013,0.354767,1262.996
IND,36,Birbhum,2013,0.354778,167.9011
IND,36,Dakshin Dinajpur,2013,0.354708,58.6468
IND,36,Darjeeling,2013,60.28246,28966.44
IND,36,Howrah,2013,0.854575,317.277
IND,36,Hooghly,2013,0.425192,112.0941
IND,36,Jalpaiguri,2013,115.882,49514.14
IND,36,Cooch Behar,2013,6.357835,4769.666
IND,36,Kolkata,2013,93.783,43858.9
IND,36,Malda,2013,0.139686,43.57203
IND,36,Murshidabad,2013,0,10.98881
IND,36,Nadia,2013,0.070727,36.83075
IND,36,North 24 Parganas,2013,0,134.4406
IND,36,Paschim Medinipur,2013,1.350878,2129.939
IND,36,Purba Medinipur,2013,0,26.23383
IND,36,Purulia,2013,0.070868,1925.381
IND,36,South 24 Parganas,2013,0,50.04361
IND,36,Uttar Dinajpur,2013,20.3745,11230.21
IND,36,Alipurduar,2014,269.3022,128655.5
IND,36,Bankura,2014,0.425624,9839.557
IND,36,Bardhaman,2014,0,1571.867
IND,36,Birbhum,2014,0,1230.917
IND,36,Dakshin Dinajpur,2014,0.069737,32.65418
IND,36,Darjeeling,2014,87.61921,42178.46
IND,36,Howrah,2014,0.854575,317.277
IND,36,Hooghly,2014,0.425192,112.0941
IND,36,Jalpaiguri,2014,221.8992,96514.2
IND,36,Cooch Behar,2014,26.81219,18818.22
IND,36,Kolkata,2014,93.783,43858.9
IND,36,Malda,2014,0.139686,43.57203
IND,36,Murshidabad,2014,0,10.98881
IND,36,Nadia,2014,0.070446,34.76434
IND,36,North 24 Parganas,2014,0.14303,251.3209
IND,36,Paschim Medinipur,2014,2.063111,6376.653
IND,36,Purba Medinipur,2014,0,82.47221
IND,36,Purulia,2014,0.070865,2067.241
IND,36,South 24 Parganas,2014,0,179.8706
IND,36,Uttar Dinajpur,2014,44.06406,26294.94
IND,36,Alipurduar,2015,65.51276,36790.61
IND,36,Bankura,2015,0,7776.378
IND,36,Bardhaman,2015,0,1517.922
IND,36,Birbhum,2015,0,1557.045
IND,36,Dakshin Dinajpur,2015,0.069737,32.65418
IND,36,Darjeeling,2015,30.89369,11027.95
IND,36,Howrah,2015,0.854575,317.277
IND,36,Hooghly,2015,0.425192,112.0941
IND,36,Jalpaiguri,2015,41.31288,20383.13
IND,36,Cooch Behar,2015,2.0043,2009.327
IND,36,Kolkata,2015,93.783,43858.9
IND,36,Malda,2015,0.139686,43.57203
IND,36,Murshidabad,2015,12344,10.98881
IND,36,Nadia,2015,0.070446,34.76434
IND,36,North 24 Parganas,2015,0.14303,251.3209
IND,36,Paschim Medinipur,2015,2.276085,5563.049
IND,36,Purba Medinipur,2015,276085,82.47221
IND,36,Purulia,2015,2.26085,2379.083
IND,36,South 24 Parganas,2015,78954,179.8706
IND,36,Uttar Dinajpur,2015,6.009712,5030.007
IND,36,Alipurduar,2016,116.6252,54776.52
IND,36,Bankura,2016,1.277255,22423.5
IND,36,Bardhaman,2016,1.2255,3777.804
IND,36,Birbhum,2016,1.27725,1393.169
IND,36,Dakshin Dinajpur,2016,0.069737,32.65418
IND,36,Darjeeling,2016,51.32535,25575.2
IND,36,Howrah,2016,0.854575,317.277
IND,36,Hooghly,2016,0.425192,112.0941
IND,36,Jalpaiguri,2016,68.5093,32807.11
IND,36,Cooch Behar,2016,1.451095,837.2029
IND,36,Kolkata,2016,93.783,43858.9
IND,36,Malda,2016,0.139686,43.57203
IND,36,Murshidabad,2016,0.455678,10.98881
IND,36,Nadia,2016,0.070446,34.76434
IND,36,North 24 Parganas,2016,0.14303,251.3209
IND,36,Paschim Medinipur,2016,3.913787,13979.1
IND,36,Purba Medinipur,2016,0.143188,125.3829
IND,36,Purulia,2016,0.567654,7089.969
IND,36,South 24 Parganas,2016,78954.8,179.8706
IND,36,Uttar Dinajpur,2016,1.036121,418.6533
IND,36,Alipurduar,2017,313.3434,156825.4
IND,36,Bankura,2017,0.28379,15616.74
IND,36,Bardhaman,2017,0,4199.492
IND,36,Birbhum,2017,0,346.6158
IND,36,Dakshin Dinajpur,2017,0.069737,32.65418
IND,36,Darjeeling,2017,38.44802,16293.2
IND,36,Howrah,2017,0.854575,317.277
IND,36,Hooghly,2017,0.425192,112.0941
IND,36,Jalpaiguri,2017,114.1356,50818.53
IND,36,Cooch Behar,2017,4.833383,1678.59
IND,36,Kolkata,2017,93.783,43858.9
IND,36,Malda,2017,0.139686,43.57203
IND,36,Murshidabad,2017,0,10.98881
IND,36,Nadia,2017,0.070446,34.76434
IND,36,North 24 Parganas,2017,0.14303,251.3209
IND,36,Paschim Medinipur,2017,4.269181,10276.62
IND,36,Purba Medinipur,2017,0.071591,97.59255
IND,36,Purulia,2017,0.071039,387.0967
IND,36,South 24 Parganas,2017,987654,50.04361
IND,36,Uttar Dinajpur,2017,7.664814,5017.928
IND,36,Alipurduar,2018,174.1161,87383.76
IND,36,Bankura,2018,0.14186,5287.525
IND,36,Bardhaman,2018,0,784.9162
IND,36,Birbhum,2018,0,34.43949
IND,36,Dakshin Dinajpur,2018,0.069737,32.65418
IND,36,Darjeeling,2018,40.79542,19054.27
IND,36,Howrah,2018,30.89369,11027.95
IND,36,Hooghly,2018,0.854575,317.277
IND,36,Jalpaiguri,2018,49.44238,24520.97
IND,36,Cooch Behar,2018,5.18207,3141.509
IND,36,Kolkata,2018,93.783,43858.9
IND,36,Malda,2018,0.139686,43.57203
IND,36,Murshidabad,2018,0,10.98881
IND,36,Nadia,2018,1.060926,591.5431
IND,36,North 24 Parganas,2018,1.20814,680.1662
IND,36,Paschim Medinipur,2018,2.346736,6705.91
IND,36,Purba Medinipur,2018,0,16.75687
IND,36,Purulia,2018,0,42.03999
IND,36,South 24 Parganas,2018,0.071228,63.92572
IND,36,Uttar Dinajpur,2018,9.736636,7161.644
IND,36,Alipurduar,2019,170.5318,84463.97
IND,36,Bankura,2019,0.496607,1026.962
IND,36,Bardhaman,2019,0.496607,784.9162
IND,36,Birbhum,2019,0,24.11106
IND,36,Dakshin Dinajpur,2019,0.069737,32.65418
IND,36,Darjeeling,2019,30.56952,13876.51
IND,36,Howrah,2019,0.854575,317.277
IND,36,Hooghly,2019,0.28413,160.4851
IND,36,Jalpaiguri,2019,123.9861,51843.03
IND,36,Cooch Behar,2019,8.152832,4632.11
IND,36,Kolkata,2019,93.783,43858.9
IND,36,Malda,2019,0.139686,43.57203
IND,36,Murshidabad,2019,0,10.98881
IND,36,Nadia,2019,0.353849,211.587
IND,36,North 24 Parganas,2019,0.99671,962.1743
IND,36,Paschim Medinipur,2019,4.410223,1876.325
IND,36,Purba Medinipur,2019,0.212545,85.23865
IND,36,Purulia,2019,0,16.75687
IND,36,South 24 Parganas,2019,0.07163,122.3045
IND,36,Uttar Dinajpur,2019,4.488715,2688.458
IND,36,Alipurduar,2020,85.63162,40793.78
IND,36,Bankura,2020,0.496697,704.5796
IND,36,Bardhaman,2020,34567,98.95816
IND,36,Birbhum,2020,982345,24.11106
IND,36,Dakshin Dinajpur,2020,0.069737,32.65418
IND,36,Darjeeling,2020,106.8207,57758.42
IND,36,Howrah,2020,0.071161,20.1368
IND,36,Hooghly,2020,0,154.4117
IND,36,Jalpaiguri,2020,60.84334,27057.85
IND,36,Cooch Behar,2020,10.91359,5298.235
IND,36,Kolkata,2020,93.783,43858.9
IND,36,Malda,2020,0.069928,40.73743
IND,36,Murshidabad,2020,93.783,43858.9
IND,36,Nadia,2020,2.052202,1394.723
IND,36,North 24 Parganas,2020,2.344619,2205.555
IND,36,Paschim Medinipur,2020,5.192774,2396.484
IND,36,Purba Medinipur,2020,0.071591,97.59255
IND,36,Purulia,2020,0.071039,387.0967
IND,36,South 24 Parganas,2020,0.644713,788.1969
IND,36,Uttar Dinajpur,2020,7.322826,3537.506
IND,36,Alipurduar,2021,193.1034,87050.12
IND,36,Bankura,2021,0.922358,23388.02
IND,36,Bardhaman,2021,0.070729,2884.206
IND,36,Birbhum,2021,0,504.053
IND,36,Dakshin Dinajpur,2021,0,773.9858
IND,36,Darjeeling,2021,132.2021,83611.24
IND,36,Howrah,2021,0.071161,20.1368
IND,36,Hooghly,2021,0,154.4117
IND,36,Jalpaiguri,2021,80.94394,35469.36
IND,36,Cooch Behar,2021,9.463107,5926.983
IND,36,Kolkata,2021,93.783,43858.9
IND,36,Malda,2021,0.069961,22.63132
IND,36,Murshidabad,2021,90876.78,10.98881
IND,36,Nadia,2021,0.495203,699.8383
IND,36,North 24 Parganas,2021,0.9235,1001.013
IND,36,Paschim Medinipur,2021,2.703137,5587.538
IND,36,Purba Medinipur,2021,0,49.52849
IND,36,Purulia,2021,0,845.2428
IND,36,South 24 Parganas,2021,0.644713,788.1969
IND,36,Uttar Dinajpur,2021,1.728202,978.1381
IND,36,Alipurduar,2022,230.0712,105517.7
IND,36,Bankura,2022,0.638559,18525.8
IND,36,Bardhaman,2022,0,3140.614
IND,36,Birbhum,2022,0,1397.86
IND,36,Dakshin Dinajpur,2022,0,694.9853
IND,36,Darjeeling,2022,69.45588,41478.76
IND,36,Howrah,2022,0.142303,89.24805
IND,36,Hooghly,2022,0.070862,43.31069
IND,36,Jalpaiguri,2022,188.0082,88630.9
IND,36,Cooch Behar,2022,12.64143,8517.862
IND,36,Kolkata,2022,93.783,43858.9
IND,36,Malda,2022,0.139686,43.57203
IND,36,Murshidabad,2022,0.455678,10.98881
IND,36,Nadia,2022,0.424314,567.0991
IND,36,North 24 Parganas,2022,0.781649,634.775
IND,36,Paschim Medinipur,2022,0.355673,4314.124
IND,36,Purba Medinipur,2022,0,20.72278
IND,36,Purulia,2022,0.141703,1095.019
IND,36,South 24 Parganas,2022,0.644713,788.1969
IND,36,Uttar Dinajpur,2022,5.249766,3558.411
IND,36,Alipurduar,2023,278.629,134144
IND,36,Bankura,2023,5.321337,46815.08
IND,36,Bardhaman,2023,5.321337,10715.62
IND,36,Birbhum,2023,7.321338,5688.4
IND,36,Dakshin Dinajpur,2023,5.3213,2101.982
IND,36,Darjeeling,2023,72.95975,36795.48
IND,36,Howrah,2023,0.142303,89.24805
IND,36,Hooghly,2023,1.420055,933.7598
IND,36,Jalpaiguri,2023,146.4526,57038.28
IND,36,Cooch Behar,2023,2.902104,2629.383
IND,36,Kolkata,2023,93.72316,33858.96
IND,36,Malda,2023,0.069961,22.63132
IND,36,Murshidabad,2023,90876.78,10.98881
IND,36,Nadia,2023,2.052736,2171.776
IND,36,North 24 Parganas,2023,10.80344,29734.29
IND,36,Paschim Medinipur,2023,1.1379,15207.45
IND,36,Purba Medinipur,2023,0,106.9687
IND,36,Purulia,2023,0.426599,9869.452
IND,36,South 24 Parganas,2023,0,2273.727
IND,36,Uttar Dinajpur,2023,5.940114,2361.813
IND,36,Alipurduar,2024,136.1645,63225.68
IND,36,Bankura,2024,1.277007,61248.08
IND,36,Bardhaman,2024,0,3915.918
IND,36,Birbhum,2024,0,4798.181
IND,36,Dakshin Dinajpur,2024,0,1092.342
IND,36,Darjeeling,2024,89.48112,49490.4
IND,36,Howrah,2024,0.213444,163.1561
IND,36,Hooghly,2024,0.35501,446.2653
IND,36,Jalpaiguri,2024,134.9381,64242.68
IND,36,Cooch Behar,2024,2.971224,1973.509
IND,36,Kolkata,2024,93.72316,33858.96
IND,36,Malda,2024,0.139902,48.84061
IND,36,Murshidabad,2024,0,18.82454
IND,36,Nadia,2024,0.991424,1559.842
IND,36,North 24 Parganas,2024,3.646319,6178.233
IND,36,Paschim Medinipur,2024,0.853843,14235.26
IND,36,Purba Medinipur,2024,0,691.1607
IND,36,Purulia,2024,0.141639,10870.94
IND,36,South 24 Parganas,2024,0,2273.727
IND,36,Uttar Dinajpur,2024,23.00215,13620.82