iso,adm1,adm2,umd_tree_cover_gain__ha
IND,36,Alipurduar,6585.729
IND,36,Bankura,16762.67
IND,36,Bardhaman,3890.763
IND,36,Birbhum,3767.846
IND,36,Dakshin Dinajpur,2123.001
IND,36,Darjeeling,8848.998
IND,36,Howrah,1167.032
IND,36,Hooghly,1340.045
IND,36,Jalpaiguri,10487.73
IND,36,Cooch Behar,4710.263
IND,36,Kolkata,23.06607
IND,36,Malda,10244.6
IND,36,Murshidabad,5471.174
IND,36,Nadia,11677.5
IND,36,North 24 Parganas,5988.894
IND,36,Paschim Medinipur,15791.05
IND,36,Purba Medinipur,4188.632
IND,36,Purulia,5873.945
IND,36,South 24 Parganas,5980.009
IND,36,Uttar Dinajpur,7442.306