iso,adm1,umd_tree_cover_loss__year,gfw_gross_emissions_co2e_all_gases__Mg,gfw_gross_emissions_co2e_non_co2__Mg,gfw_gross_emissions_co2e_co2_only__Mg
IND,36,2001,214000.7,2931.143,211069.5
IND,36,2002,184966.4,2749.025,182217.3
IND,36,2003,94252.57,1524.322,92728.25
IND,36,2004,270358.5,4503.197,265855.3
IND,36,2005,211470.9,2844.483,208626.4
IND,36,2006,380036.4,4289.717,375746.7
IND,36,2007,754566.7,9993.415,744573.3
IND,36,2008,722096.1,8598.832,713497.2
IND,36,2009,435066.6,3604.827,431461.8
IND,36,2010,951001.1,10627.81,940373.3
IND,36,2011,463197.6,5482.733,457714.8
IND,36,2012,608200.2,7338.291,600861.9
IND,36,2013,174640,2427.987,172212
IND,36,2014,334183.2,2722.693,331460.5
IND,36,2015,94034.5,824.7554,93209.74
IND,36,2016,163203.6,820.6455,162383
IND,36,2017,261557.8,2264.199,259293.6
IND,36,2018,155469.4,1327.472,154141.9
IND,36,2019,161973.3,1292.461,160680.8
IND,36,2020,142075,1373.546,140701.5
IND,36,2021,248966.4,544.2938,248422.1
IND,36,2022,278137.9,529.822,277608.1
IND,36,2023,358676.7,1041.29,357635.4
IND,36,2024,297820.1,392.5083,297427.6